Time_ms,Neuron_membrane_potential_mV
4.65,-71.19277938
4.66,-71.19146362
4.67,-71.18992445
4.68,-71.1881806
4.69,-71.18624902
4.7,-71.1841451
4.71,-71.18188277
4.72,-71.17947469
4.73,-71.17693232
4.74,-71.17426608
4.75,-71.17148543
4.76,-71.16859896
4.77,-71.16561448
4.78,-71.16253907
4.79,-71.1593792
4.8,-71.15614074
4.81,-71.15282903
4.82,-71.14944892
4.83,-71.14600486
4.84,-71.14250088
4.85,-71.13894065
4.86,-71.13532752
4.87,-71.13166455
4.88,-71.12795453
4.89,-71.12420001
4.9,-71.1204033
4.91,-71.11656653
4.92,-71.11269163
4.93,-71.10878037
4.94,-71.10483437
4.95,-71.10085511
4.96,-71.09684393
4.97,-71.09280207
4.98,-71.08873066
4.99,-71.08463074
5,-71.08050325
5.01,-71.07634906
5.02,-71.07216895
5.03,-71.06796366
5.04,-71.06373384
5.05,-71.05948011
5.06,-71.05520302
5.07,-71.05090308
5.08,-71.04658076
5.09,-71.04223648
5.1,-71.03787064
5.11,-71.03348359
5.12,-71.02907566
5.13,-71.02464715
5.14,-71.02019833
5.15,-71.01572946
5.16,-71.01124076
5.17,-71.00673245
5.18,-71.00220471
5.19,-70.99765772
5.2,-70.99309164
5.21,-70.98850661
5.22,-70.98390276
5.23,-70.97928022
5.24,-70.9746391
5.25,-70.96997949
5.26,-70.96530148
5.27,-70.96060516
5.28,-70.95589059
5.29,-70.95115785
5.3,-70.94640699
5.31,-70.94163807
5.32,-70.93685113
5.33,-70.93204621
5.34,-70.92722336
5.35,-70.92238261
5.36,-70.91752398
5.37,-70.9126475
5.38,-70.90775319
5.39,-70.90284107
5.4,-70.89791116
5.41,-70.89296346
5.42,-70.88799799
5.43,-70.88301476
5.44,-70.87801377
5.45,-70.87299502
5.46,-70.86795852
5.47,-70.86290426
5.48,-70.85783226
5.49,-70.85274249
5.5,-70.84763496
5.51,-70.84250967
5.52,-70.83736661
5.53,-70.83220576
5.54,-70.82702713
5.55,-70.8218307
5.56,-70.81661646
5.57,-70.8113844
5.58,-70.80613452
5.59,-70.80086679
5.6,-70.79558121
5.61,-70.79027777
5.62,-70.78495645
5.63,-70.77961723
5.64,-70.77426011
5.65,-70.76888507
5.66,-70.7634921
5.67,-70.75808118
5.68,-70.75265229
5.69,-70.74720542
5.7,-70.74174056
5.71,-70.73625769
5.72,-70.7307568
5.73,-70.72523787
5.74,-70.71970088
5.75,-70.71414582
5.76,-70.70857267
5.77,-70.70298142
5.78,-70.69737206
5.79,-70.69174456
5.8,-70.68609891
5.81,-70.6804351
5.82,-70.67475311
5.83,-70.66905293
5.84,-70.66333453
5.85,-70.65759791
5.86,-70.65184306
5.87,-70.64606995
5.88,-70.64027857
5.89,-70.6344689
5.9,-70.62864094
5.91,-70.62279467
5.92,-70.61693007
5.93,-70.61104713
5.94,-70.60514584
5.95,-70.59922618
5.96,-70.59328814
5.97,-70.58733171
5.98,-70.58135687
5.99,-70.57536361
6,-70.56935191
6.01,-70.56332178
6.02,-70.55727318
6.03,-70.55120612
6.04,-70.54512058
6.05,-70.53901655
6.06,-70.53289401
6.07,-70.52675296
6.08,-70.52059338
6.09,-70.51441527
6.1,-70.50821861
6.11,-70.50200339
6.12,-70.49576961
6.13,-70.48951726
6.14,-70.48324631
6.15,-70.47695678
6.16,-70.47064864
6.17,-70.46432189
6.18,-70.45797651
6.19,-70.45161251
6.2,-70.44522987
6.21,-70.43882859
6.22,-70.43240866
6.23,-70.42597007
6.24,-70.41951281
6.25,-70.41303688
6.26,-70.40654227
6.27,-70.40002898
6.28,-70.393497
6.29,-70.38694632
6.3,-70.38037694
6.31,-70.37378886
6.32,-70.36718206
6.33,-70.36055655
6.34,-70.35391232
6.35,-70.34724937
6.36,-70.34056769
